date,total_volume
2020-07-07,268599176352227572943.000000000
2020-07-06,195702420200149838632.000000000
2020-07-05,380472417807040782174.000000000
2020-07-04,499610931620495743285.000000000
2020-07-03,315710997078128790885.000000000
2020-07-02,309669499218579535605.000000000
2020-07-01,355993890021494907568.000000000
2020-06-30,179164959108150488883.000000000
2020-06-29,437521051168427196946.000000000
2020-06-28,520825544490392994920.000000000
2020-06-27,347639835943959490535.000000000
2020-06-26,283129339693931201713.000000000
2020-06-25,231921152712181363479.000000000
2020-06-24,451929148060841782334.000000000
2020-06-23,374775309134038067966.000000000
2020-06-22,317966464545727407852.000000000
2020-06-21,446400674205808813721.000000000
2020-06-20,486757115623713429576.000000000
2020-06-19,849411642530120623113.000000000
2020-06-18,1047277263339099737196.000000000
2020-06-17,598054232736834156307.000000000
2020-06-16,468313056840521361288.000000000
2020-06-15,631625909666273588465.000000000
2020-06-14,494805773934852384216.000000000
2020-06-13,592545576748246831253.000000000
2020-06-12,1008047875228504592094.000000000
2020-06-11,970236640788633851826.000000000
2020-06-10,619379579251259378606.000000000
2020-06-09,427107027772836795118.000000000
2020-06-08,468597070453567644112.000000000
2020-06-07,580053859957318823530.000000000
2020-06-06,708723047286443243283.000000000
2020-06-05,806106563122485147020.000000000
2020-06-04,558321211996084315092.000000000
2020-06-03,519097335908990837368.000000000
2020-06-02,801015680150383438232.000000000
2020-06-01,925728099603935749443.000000000
2020-05-31,432783060104455251295.000000000
2020-05-30,331415323413149580400.000000000
2020-05-29,267764888180745908771.000000000
2020-05-28,355765820829225761594.000000000
2020-05-27,384952891630762770348.000000000
2020-05-26,564250520182283145687.000000000
2020-05-25,1054445126194848967881.000000000
2020-05-24,303015781786656619594.000000000
2020-05-23,265566025755736220861.000000000
2020-05-22,417127137112570769801.000000000
2020-05-21,386775965135837407682.000000000
2020-05-20,320793418473917803502.000000000
2020-05-19,372008874783077287962.000000000
2020-05-18,294802553623871183630.000000000
2020-05-17,314782496088434475353.000000000
2020-05-16,295895732194707789804.000000000
2020-05-15,880289148987212411141.000000000
2020-05-14,682907796936002752948.000000000
2020-05-13,1129096899922409433499.000000000
2020-05-12,309525554676573362125.000000000
2020-05-11,415387201701933528982.000000000
2020-05-10,321748577501344427969.000000000
2020-05-09,3568455506026302914795.000000000
2020-05-08,499884569478561707638.000000000
2020-05-07,4234682566897371188957.000000000
2020-05-06,964528498644287823166.000000000
2020-05-05,162220331861803573667.000000000
2020-05-04,977104361063845189648.000000000
2020-05-03,117154075185409574481.000000000
2020-05-02,225977069367853448486.000000000
2020-05-01,321707689146387942280.000000000
2020-04-30,317308816347889290130.000000000
2020-04-29,165980865391611723999.000000000
2020-04-28,292848606857154780746.000000000
2020-04-27,160601151777247067958.000000000
2020-04-26,163557639589779963858.000000000
2020-04-25,161463704931004660679.000000000
2020-04-24,305736058715153442701.000000000
2020-04-23,118274022299192575974.000000000
2020-04-22,142634605263057012756.000000000
2020-04-21,78046793835316604862.000000000
2020-04-20,135204094292191765723.000000000
2020-04-19,38277006277645609035.000000000
2020-04-18,185866693659831859982.000000000
2020-04-17,45750322287780967571.000000000
2020-04-16,76196920810647158296.000000000
2020-04-15,39490581400502264446.000000000
2020-04-14,57541891847447808621.000000000
2020-04-13,143704486702429317243.000000000
2020-04-12,43744182514502819450.000000000
2020-04-11,34597261652100005844.000000000
2020-04-10,99523631819707779665.000000000
2020-04-09,129988402488802933100.000000000
2020-04-08,117644902307285729570.000000000
2020-04-07,288853648232187079662.000000000
2020-04-06,319345414049955767011.000000000
2020-04-05,137952181354732827638.000000000
2020-04-04,29628855685014581697.000000000
2020-04-03,41749045126060977716.000000000
2020-04-02,122941382368730579301.000000000
2020-04-01,57217673611509269414.000000000
2020-03-31,104780484502536147049.000000000
2020-03-30,246546275570256952353.000000000
2020-03-29,39015922437786927214.000000000
2020-03-28,113536318041496653247.000000000
2020-03-27,422594310591852121801.000000000
2020-03-26,97603637246069273158.000000000
2020-03-25,63043960263344622347.000000000
2020-03-24,77113973622239097849.000000000
2020-03-23,142704372307738936239.000000000
2020-03-22,500325571649598437098.000000000
2020-03-21,44610862673961963499.000000000
2020-03-20,128477365557901965991.000000000
2020-03-19,224357444693391834070.000000000
2020-03-18,289132115914278763696.000000000
2020-03-17,97046042315931968136.000000000
2020-03-16,248026141575813261933.000000000
2020-03-15,376952725114599078195.000000000
2020-03-14,234404479467698462392.000000000
2020-03-13,484841183842122526947.000000000
2020-03-12,363297790093091479301.000000000
2020-03-11,115329104768379653933.000000000
2020-03-10,105819363580795386902.000000000
2020-03-09,220555580708299331637.000000000
2020-03-08,103457338232675488609.000000000
2020-03-07,384298603374641217935.000000000
2020-03-06,201539995723477747172.000000000
2020-03-05,65257802112574203388.000000000
2020-03-04,84550980129338372213.000000000
