date,volume
2020-07-15,89521204.254441378
2020-07-14,215367142.910440354
2020-07-13,347663474.25132712
2020-07-12,94361186.148893865
2020-07-11,119821533.680613245
2020-07-10,428776406.198235333
2020-07-09,261418982.922373136
2020-07-08,399890679.115836367
2020-07-07,268617788.786227573
2020-07-06,195723919.634149839
2020-07-05,380491880.241040782
2020-07-04,499629194.054495743
2020-07-03,315729809.512128791
2020-07-02,370687911.652579536
2020-07-01,356011602.455494908
2020-06-30,179202156.542150489
2020-06-29,437538213.602427197
2020-06-28,520843956.924392995
2020-06-27,347658148.377959491
2020-06-26,283149467.127931202
2020-06-25,231939817.146181363
2020-06-24,451949010.494841782
2020-06-23,374794371.568038068
2020-06-22,317986426.979727408
2020-06-21,446419451.639808814
2020-06-20,486775628.05771343
2020-06-19,849429569.964120623
2020-06-18,1047280861.279099737
2020-06-17,599663011.902899737
2020-06-16,529353261.840521361
2020-06-15,631629111.666273588
2020-06-14,494806523.934852384
2020-06-13,592546032.748246831
2020-06-12,1008049162.228504592
2020-06-11,970238490.788633852
2020-06-10,619421985.251259379
2020-06-09,427117054.772836795
2020-06-08,468597720.453567644
2020-06-07,580054219.957318824
2020-06-06,708723597.286443243
2020-06-05,806107265.122485147
2020-06-04,740421711.782155915
2020-06-03,519097605.908990837
2020-06-02,801016135.150383438
2020-06-01,925729405.603935749
2020-05-31,432783071.104455251
2020-05-30,331415323.41314958
2020-05-29,267765111.287710109
2020-05-28,431191722.989225762
2020-05-27,385311033.63076277
2020-05-26,564492935.182283146
2020-05-25,1054445645.194848968
2020-05-24,303016231.78665662
2020-05-23,265566487.755736221
2020-05-22,417127417.11257077
2020-05-21,386776317.135837408
2020-05-20,320888299.473917804
2020-05-19,372009074.783077288
2020-05-18,294802803.623871184
2020-05-17,314782646.088434475
2020-05-16,295896182.19470779
2020-05-15,880289760.987212411
2020-05-14,682908196.936002753
2020-05-13,1129464950.672409433
2020-05-12,309526054.676573362
2020-05-11,415412176.701933529
2020-05-10,321793077.501344428
2020-05-09,3568500181.026302915
2020-05-08,499904269.478561708
2020-05-07,4234682866.897371189
2020-05-06,964528598.644287823
2020-05-05,162220981.861803574
2020-05-04,977104861.06384519
2020-05-03,117154425.185409574
2020-05-02,225977469.367853448
